IP,City,Region,Country,Longitude,Latitude,PageViewTime
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,2/2/2014 at 20:53:29
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,2/2/2014 at 22:52:17
130.239.40.127,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,3/2/2014 at 15:57:16
130.239.40.11,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,3/2/2014 at 21:36:59
130.239.40.11,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,3/2/2014 at 21:40:39
130.239.40.11,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,3/2/2014 at 21:41:59
130.239.40.11,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,4/2/2014 at 14:12:0
130.239.40.116,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,4/2/2014 at 14:19:54
192.168.0.100,,,,,4/2/2014 at 23:0:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,5/2/2014 at 9:55:46
,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,5/2/2014 at 22:2:29
,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,5/2/2014 at 22:3:58
,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,5/2/2014 at 22:4:20
,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,5/2/2014 at 22:4:28
,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,5/2/2014 at 22:4:45
,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,5/2/2014 at 22:5:7
192.168.0.100,,,,,5/2/2014 at 22:9:38
192.168.0.100,,,,,5/2/2014 at 22:12:32
192.168.0.100,,,,,5/2/2014 at 22:55:11
192.168.0.100,,,,,5/2/2014 at 22:55:56
192.168.0.101,,,,,5/2/2014 at 23:5:0
192.168.0.101,,,,,5/2/2014 at 23:5:26
192.168.0.101,,,,,5/2/2014 at 23:8:0
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:46:24
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:46:38
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:49:16
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:49:23
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:49:35
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:50:17
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:50:29
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:53:9
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:53:17
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 10:55:9
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:3:45
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:4:11
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:5:44
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:6:14
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:6:26
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:10:6
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:10:46
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:11:2
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:11:13
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:13:46
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:13:50
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:14:50
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:15:30
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:16:5
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:17:0
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:17:16
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:17:49
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:18:17
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:18:45
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:19:55
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:20:14
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:21:14
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:21:20
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:21:51
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:22:5
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:24:20
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:24:47
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:24:57
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:25:5
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:25:36
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:26:14
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:27:26
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:28:10
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:28:29
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:29:18
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:29:53
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:30:11
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:30:34
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:30:52
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:30:55
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:31:6
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:31:49
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:31:56
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:31:59
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:32:4
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:32:38
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:33:8
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:33:31
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:33:41
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:34:6
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:35:2
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:35:26
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:35:48
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:36:3
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:36:32
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:38:32
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:38:41
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:38:54
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:39:16
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:39:24
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:39:57
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:40:6
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:40:24
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:41:8
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:42:26
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:42:47
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:42:51
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:43:4
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:43:22
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:43:48
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:43:51
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:44:9
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:44:26
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:48:16
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:48:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:48:48
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:49:17
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:49:39
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:50:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:50:39
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:50:51
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:51:24
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:51:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:51:40
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:51:51
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:52:2
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:53:12
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:53:33
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:54:2
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:54:45
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:54:54
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:55:9
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:55:21
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:55:39
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:56:59
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:57:17
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:57:44
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:58:18
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:58:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:58:45
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 11:59:44
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:0:1
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:0:13
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:0:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:0:40
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:2:37
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:2:54
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:2:57
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:3:15
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:3:27
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:3:37
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:3:39
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:4:4
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:4:15
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:4:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:4:57
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:5:20
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:5:35
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:7:56
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:8:43
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:9:3
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:9:12
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:10:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:10:44
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:11:7
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:11:30
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:12:25
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:18:6
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:18:49
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:20:10
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:20:50
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:21:5
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:21:40
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:22:3
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:23:0
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:24:51
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:26:12
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:26:53
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:26:56
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:28:12
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:28:18
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:28:34
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:28:57
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:16
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:18
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:32
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:35
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:40
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:48
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:49
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:55
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:58
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:30:3
192.168.0.100,,,,,6/2/2014 at 14:24:23
192.168.0.100,,,,,6/2/2014 at 14:25:24
192.168.0.100,,,,,6/2/2014 at 14:25:51
192.168.0.100,,,,,6/2/2014 at 14:26:25
192.168.0.100,,,,,6/2/2014 at 14:26:56
192.168.0.100,,,,,6/2/2014 at 14:28:9
192.168.0.100,,,,,6/2/2014 at 14:29:17
192.168.0.100,,,,,6/2/2014 at 14:29:55
192.168.0.100,,,,,6/2/2014 at 14:31:20
192.168.0.100,,,,,6/2/2014 at 14:31:57
192.168.0.100,,,,,6/2/2014 at 14:32:51
192.168.0.100,,,,,6/2/2014 at 14:33:27
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:43:38
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:43:45
130.239.40.136,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 21:46:25
